Mcm5
Pcna
Tyms
Fen1
Mcm2
Mcm4
Rrm1
Ung
Gins2
Mcm6
Cdca7
Dtl
Prim1
Uhrf1
Uhrf2
Hells
Rfc2
Rpa2
Nasp
Rad51ap1
Gmnn
Wdr76
Slbp
Ccne2
Ubr7
Pold3
Msh2
Atad2
Rad51
Rrm2
Rrm2b
Cdc45
Cdc6
Exo1
Tipin
Dscc1
Blm
Casp8ap2
Usp1
Clspn
Pola1
Chaf1b
Brip1
E2f8
Hmgb2
Hmgb1
Cdk1
Nusap1
Ube2c
Birc5
Tpx2
Top2a
Top2b
Ndc80
Cks2
Cks1b
Cks1brt
Nuf2
Mki67
Tmpo
Cenpf
Tacc3
Smc4
Ccnb2
Ccnb1
Ckap2l
Ckap2
Aurkb
Aurkc
Bub1
Kif11
Anp32e
Snrpa1
Tubb4b
Tubb2a
Tubb2b
Tubb4a
Tubb5
Tubb1
Tubb3
Tubb6
Gtse1
Kif20b
Hjurp
Cdca3
Cdc20
Ttk
Cdc25c
Kif2c
Kif2a
Rangap1
Ncapd2
Dlgap5
Cdca2
Cdca8
Ect2
Kif23
Hmmr
Shtn1
Aurka
Psrc1
Anln
Lbr
Tm7sf2
Ckap5
Cenpe
Ctcf
Ctcfl
Nek2
G2e3
Gas2l3
Txndc2
Cbx5
Cenpa
