term	stem	removestop	sim	termweights	svd	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	True	True	cosine	1,1,1,1	False	0.5911	0.3717	0.2275	0.1003	0.3968	0.3848	0.9347	0.7315
tfidf	True	True	cosine	1,1,1,1	True	0.1670	0.0557	0.0318	0.0140	0.0849	0.0974	0.8250	0.4196
